display,name,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales
Обувь / Кроссовки,Кроссовки,"128,457,195,363","5,250",3450.0%,37.6%,61.7%,9672
Платья,Платья,"58,288,206,789","1,894",3450.0%,26.1%,50.6%,32038
Футболки,Футболки,"46,416,871,016","1,352",3450.0%,53.3%,53.9%,14327
Костюмы,Костюмы,"42,050,547,127","2,267",3450.0%,43.1%,57.4%,18320
Брюки,Брюки,"30,519,268,612","1,620",3450.0%,34.7%,52.0%,16635
Товары для взрослых / Секс куклы,Секс куклы,"24,489,171,748","5,494",2950.0%,66.7%,68.0%,211
Джинсы,Джинсы,"22,198,859,474","2,058",3450.0%,25.4%,50.6%,9835
Шорты,Шорты,"19,549,415,642","1,048",3450.0%,37.4%,48.9%,9303
Автотовары / Шины автомобильные,Шины автомобильные,"18,116,907,571","9,924",1800.0%,79.8%,81.1%,258
Обувь / Босоножки,Босоножки,"17,774,394,342","2,432",3450.0%,31.1%,54.5%,3632
Электроника / Смартфоны,Смартфоны,"16,074,541,010","11,441",1650.0%,88.0%,82.9%,2738
Для ремонта / Смесители,Смесители,"15,825,174,637","4,114",2750.0%,80.6%,70.2%,2298
Дом / Шкафы-купе,Шкафы-купе,"15,180,513,054","36,540",2650.0%,91.4%,73.2%,103
Обувь / Туфли,Туфли,"15,067,702,380","2,717",3450.0%,25.8%,54.9%,6596
Рубашки,Рубашки,"14,712,062,316","1,503",3450.0%,36.3%,51.6%,10405
Автотовары / Чехлы на сиденья,Чехлы на сиденья,"14,711,355,944","5,599",2650.0%,73.4%,71.9%,1373
Инсталляции для унитаза,Инсталляции для унитаза,"13,769,504,576","21,178",2750.0%,79.6%,72.1%,288
Бытовая техника / Триммеры садовые,Триммеры садовые,"13,453,475,553","5,778",1950.0%,84.7%,78.4%,1740
Юбки,Юбки,"12,966,460,885","1,328",3450.0%,28.4%,45.5%,12730
Обувь / Сандалии,Сандалии,"12,928,159,755","1,905",3450.0%,30.6%,51.7%,3596
Дом / Тумбы для ванной,Тумбы для ванной,"11,410,879,539","22,074",2750.0%,85.3%,72.1%,252
Книги,Книги,"11,142,923,168",978,2950.0%,90.5%,62.0%,7811
Амортизаторы автомобильные,Амортизаторы автомобильные,"10,567,991,800","3,986",2650.0%,81.3%,71.2%,1084
Женщинам / Сумки,Сумки,"10,149,082,952","1,634",3450.0%,57.2%,57.0%,18179
Женщинам / Блузки,Блузки,"10,005,826,528","1,416",3450.0%,32.1%,48.5%,8483
Зоотовары / Корм сухой,Корм сухой,"9,899,413,814","1,990",2150.0%,92.9%,74.4%,1347
Женщинам / Костюмы купальные,Костюмы купальные,"9,884,506,068","1,618",3450.0%,25.2%,47.4%,4159
Дом / Кружки,Кружки,"9,810,401,826",676,2950.0%,83.1%,56.5%,4592
Электроника / Чехлы,Чехлы для телефонов,"9,740,160,102",403,2950.0%,77.2%,46.4%,5840
Женщинам / Топы,Топы,"9,549,426,560",870,3450.0%,37.6%,42.8%,8680
Мужчинам / Костюмы спортивные,Костюмы спортивные,"9,300,019,122","2,040",3450.0%,42.1%,57.1%,7289
Обувь / Лоферы,Лоферы,"9,223,910,399","4,333",3450.0%,24.1%,59.5%,2696
Куртки,Куртки,"8,848,807,181","3,672",3450.0%,30.2%,57.6%,11787
Колодки автомобильные,Колодки автомобильные,"8,751,067,747","2,225",2650.0%,82.5%,69.5%,1291
Магнитолы автомобильные,Магнитолы автомобильные,"8,112,939,474","11,614",2650.0%,82.0%,72.7%,972
Электроника / Ноутбуки,Ноутбуки,"8,093,465,570","46,251",1450.0%,87.7%,85.3%,1328
Обувь / Кеды,Кеды,"7,594,068,082","3,588",3450.0%,32.4%,58.3%,3620
Тормозные диски автомобильные,Тормозные диски автомобильные,"7,320,038,664","5,645",2650.0%,77.8%,71.8%,688
Автотовары / Тенты автомобильные,Тенты автомобильные,"7,021,963,728","3,962",2650.0%,82.6%,71.2%,838
Автотовары / Рычаги подвески,Рычаги подвески,"6,948,260,197","4,650",2650.0%,83.3%,71.6%,745
Женщинам / Бюстгальтеры,Бюстгальтеры,"6,747,008,547",990,3450.0%,47.7%,50.7%,2295
Дом / Краны шаровые,Краны шаровые,"6,436,677,162","1,210",2750.0%,89.2%,64.8%,1094
Женщинам / Пиджаки,Пиджаки,"6,026,106,709","2,892",3450.0%,23.6%,54.4%,5141
Обувь / Сабо,Сабо,"5,643,084,530","1,753",3450.0%,40.4%,54.4%,2199
Для ремонта / Ограждения душевые,Ограждения душевые,"5,525,944,328","35,444",2750.0%,50.0%,72.3%,90
Женщинам / Очки сварочные,Сварочные аппараты,"5,256,655,419","4,592",2850.0%,81.9%,70.2%,920
Бытовая техника / Холодильники,Холодильники,"5,169,016,068","39,645",1950.0%,100.0%,80.2%,280
